"standard mean","s.l95ci","s.u95ci","UNPAc","u.l95ci","u.u95ci"
0.0513956434165283,0.0411899742413277,0.0616013125917289,0.0516624288035419,0.0430728642809735,0.0602519933261104
0.0713699909534977,0.0591999617006125,0.0835400202063829,0.0703133833404737,0.0600705222683923,0.0805562444125551
0.239950793229897,0.225583834431251,0.254317752028542,0.242161751178744,0.230069852306113,0.254253650051374
0.117798543441953,0.105222752966628,0.130374333917277,0.112623650878492,0.10203928234217,0.123208019414814
0.10567197216866,0.0912944815678685,0.120049462769452,0.11052918336696,0.098428420441172,0.122629946292748
0.0367087716670389,0.0219845605370035,0.0514329827970743,0.0382764115394339,0.0258838325351401,0.0506689905437278
0.0552712732739729,0.0411542788835458,0.0693882676643999,0.0558855932036956,0.0440040759705125,0.0677671104368786
0.129817543931499,0.117799300908421,0.141835786954576,0.124082358127021,0.113967247385877,0.134197468868165
0.258049319817568,0.243757051953709,0.272341587681426,0.258484291346776,0.24645525582907,0.270513326864482
0.0839088566583579,0.0715393172251246,0.0962783960915912,0.0811171318607445,0.070706353767487,0.091527909954002
0.16112110529592,0.146846099295604,0.175396111296235,0.171262476270587,0.159247969137854,0.18327698340332
0.284162707919356,0.267352615548622,0.30097280029009,0.261904913432875,0.247756760032056,0.276053066833695
